225.2222222,230.1777778,227.9777778,1.744444444,1.7,1.711111111,1.203333333,0,1,99.95555556,0.1,1,99.95555556,0
224.5833333,230.0666667,225.2333333,1.416666667,1.316666667,1.4,0.971666667,0,1,99.9,0.1,1,99.9,0
221.9428571,228.5,224.1714286,0.728571429,0.685714286,0.714285714,0.514285714,-0.005714286,1,99.92857143,0.1,1,99.92857143,0
218.6833333,232.5833333,226.6666667,0.933333333,0.916666667,0.933333333,0.656666667,-0.001666667,1,99.93333333,0.1,1,99.93333333,0
218.8,231.0666667,226.2,0.783333333,0.733333333,0.733333333,0.553333333,0,1,99.95,0.1,1,99.95,0
222.7833333,229.1333333,226.7166667,0.633333333,0.583333333,0.583333333,0.453333333,0,1,99.9,0.1,1,99.9,0
222.55,227.7,225.2,0.3,0.25,0.3,0.22,-0.005,1,99.9,0.1,1,99.9,0
224.3428571,230.5142857,224,0.028571429,0.028571429,0.028571429,0.048571429,0,0.857142857,99.9,0.1,1,99.9,0
220.65,234.45,225.8,0,0,0,0,0,0,99.925,0.1,1,99.925,0
220.8,232,226.8,0,0,0,0,0,0,99.9,0.1,1,99.9,0
229.8333333,233.4666667,231.3333333,0,0,0,0,0,0,99.9,0.1,1,99.9,0
228.65,233.1,232.35,0,0,0,0,0,0,99.93333333,0.1,1,99.93333333,0
225.9857143,233.2571429,227.7142857,0,0,0,0.01,-0.001428571,0.142857143,99.97142857,0.1,1,99.97142857,0
219.0142857,231,222.5428571,0.1,0.1,0.1,0.097142857,-0.005714286,1,99.91428571,0.1,1,99.91428571,0
217.6,229.25,224.1375,0.25,0.2375,0.2375,0.2025,0,1,99.9125,0.1,1,99.9125,0
218.1333333,229.15,225.0666667,0.366666667,0.333333333,0.333333333,0.273333333,0,1,99.93333333,0.1,1,99.93333333,0
214.42,228.72,226.95,0.54,0.5,0.5,0.379,-0.003,1,99.97,0.1,1,99.97,0
217.5571429,229.0142857,224.5857143,0.928571429,0.857142857,0.9,0.647142857,-0.002857143,1,99.95714286,0.1,1,99.95714286,0
186.2,197.0571429,194.9714286,33.17142857,33.8,33.8,0.821428571,-0.002857143,1,99.97142857,0.1,1,99.97142857,0
225.5714286,230.1571429,226.3857143,1.028571429,1.014285714,1.028571429,0.73,-0.004285714,1,99.94285714,0.1,1,99.94285714,0
228.1142857,229.7142857,226.2857143,1.071428571,1.071428571,1.142857143,0.781428571,-0.002857143,1,99.9,0.1,1,99.9,0
223.6857143,226.9285714,231.3285714,1.642857143,1.657142857,1.642857143,1.128571429,0,1,99.95714286,0.1,1,99.95714286,0
227.24,229.16,230.82,1.66,1.64,1.66,1.166,0,1,99.92,0.1,1,99.92,0
228.28,229.66,227.56,1.54,1.5,1.54,1.054,0,1,99.92,0.1,1,99.92,0
226.7142857,230.2,227.3142857,1.614285714,1.6,1.628571429,1.111428571,-0.004285714,1,99.95714286,0.1,1,99.95714286,0
227.5666667,232.3333333,226.2666667,2.116666667,2.1,2.133333333,1.47,0,1,99.98333333,0.1,1,99.98333333,0
226.0571429,232.3142857,229.2571429,2.2,2.2,2.228571429,1.551428571,0,1,99.97142857,0.1,1,99.97142857,0
225.6,229.8571429,226.6,0.928571429,0.928571429,0.928571429,0.658571429,-0.001428571,1,99.91428571,0.1,1,99.91428571,0
224.48,229.24,223.8,0.96,0.96,0.98,0.694,0,1,99.92,0.1,1,99.92,0
221.8875,230.075,228.0375,1.225,1.1375,1.1875,0.84375,0,1,99.9,0.1,1,99.9,0
222.4571429,229.0571429,225.2571429,1.2,1.185714286,1.2,0.834285714,-0.002857143,1,99.91428571,0.1,1,99.91428571,0
147.65,153.3333333,151.3833333,74.75,78.23333333,76.66666667,1.165,0,1,99.96666667,0.1,1,99.96666667,0
222.9714286,230.1428571,226.2857143,2.585714286,2.585714286,2.642857143,1.8,0,1,99.95714286,0.1,1,99.95714286,0
470.7666667,542.45,511.0166667,39.36666667,40.13333333,39.26666667,1.673333333,0,1,99.93333333,0.1,1,99.93333333,2.516666667
406.1375,463.7125,441.1625,30.0875,30.6875,30.05,1.67125,0,1,99.9625,0.1,1,99.9625,1.8875
219.8285714,227.1428571,223.1714286,1.085714286,1.085714286,1.1,0.774285714,-0.001428571,1,99.95714286,0.1,1,99.95714286,0
223.2714286,232.2857143,225.9428571,1.842857143,1.8,1.9,1.29,0,1,99.9,0.1,1,99.9,0
226.35,233.3,226.375,1.6125,1.6,1.6375,1.14875,0,1,99.95,0.1,1,99.95,0
227.8428571,230.6285714,226.9,1.4,1.4,1.414285714,0.984285714,0,1,99.94285714,0.1,1,99.94285714,0
183.54,188.48,183.4,48.96,50.56,49.96,3.162,0.006,1,99.94,0.1,1,99.94,0
1066.714286,1305.657143,1213.971429,36.74285714,36.98571429,36.77142857,3.154285714,0.002857143,1,99.92857143,0.1,1,99.92857143,8.628571429
521.1,610.98,578.18,3.28,3.28,3.38,2.314,0,1,99.9,0.1,1,99.9,3.02
231.58,236.04,233.02,3.6,3.6,3.62,2.52,0.006,1,99.94,0.1,1,99.94,0
230.8142857,235.6285714,231.5,3.4,3.4,3.471428571,2.407142857,0,1,99.95714286,0.1,1,99.95714286,0
